36 1 -12 -1
35 1 -10 -1
35 1 -11 -1
35 1 -12 -1
34 1 -10 -1
31 1 -1 -1
31 1 -2 -1
31 1 -10 -1
31 1 -11 -1
31 1 0 -1
31 1 -12 -1
31 1 -14 -1
31 1 -15 -1
31 1 -16 -1
30 1 0 -1
30 1 -10 -1
30 1 -14 -1
32 1 -2 -1
32 1 -12 -1
32 1 -16 -1
28 1 -4 -1
22 1 2 -1
22 1 -2 -1
22 1 -6 -1
22 1 -8 -1
22 1 0 -1
22 1 -12 -1
22 1 -14 -1
22 1 -10 -1
22 1 -16 -1
22 1 -18 -1
21 1 2 -1
21 1 1 -1
21 1 3 -1
21 1 0 -1
21 1 -1 -1
21 1 -2 -1
21 1 4 -1
21 1 -4 -1
21 1 -6 -1
21 1 -8 -1
21 1 -18 -1
21 1 -5 -1
21 1 -14 -1
21 1 -12 -1
21 1 -17 -1
21 1 -16 -1
21 1 -10 -1
21 1 -15 -1
21 1 -9 -1
21 1 -13 -1
21 1 -11 -1
20 1 4 -1
20 1 0 -1
20 1 -4 -1
20 1 -6 -1
20 1 2 -1
20 1 -10 -1
20 1 -12 -1
20 1 -8 -1
20 1 -14 -1
20 1 -16 -1
18 1 2 -1
18 1 -2 -1
20 0 18 1
20 0 0 1
20 0 10 1
20 0 -2 1
17 0 22 1
17 0 0 1
17 0 13 1
17 0 3 1
17 0 1 1
17 0 12 1
17 0 20 1
17 0 4 1
17 0 2 1
17 0 14 1
17 0 21 1
18 0 20 1
18 0 2 1
18 0 12 1
18 0 0 1
15 0 6 1
15 0 4 1
27 1 -2 -1
27 1 -3 -1
27 1 -4 -1
8 0 12 1
12 0 8 1
21 0 18 1
21 0 -4 1
21 0 9 1
21 0 -1 1
21 0 -3 1
21 0 8 1
21 0 16 1
21 0 0 1
21 0 -2 1
21 0 10 1
21 0 17 1
7 0 14 1
7 0 13 1
7 0 12 1
4 0 16 1
10 0 10 1
11 0 10 1
11 0 9 1
11 0 8 1
14 0 6 1
39 1 -18 -1
39 1 -19 -1
39 1 -20 -1
39 1 -22 -1
39 1 -23 -1
39 1 -24 -1
19 1 2 -1
19 1 1 -1
19 1 0 -1
19 1 -2 -1
19 1 -3 -1
19 1 -4 -1
16 0 22 1
16 0 4 1
16 0 14 1
16 0 2 1
26 1 -2 -1
9 0 12 1
9 0 11 1
9 0 10 1
5 0 16 1
5 0 15 1
5 0 14 1
6 0 14 1
22 0 16 1
22 0 -2 1
22 0 8 1
22 0 -4 1
13 0 8 1
13 0 7 1
13 0 6 1
23 0 -2 1
23 0 -3 1
23 0 -4 1
25 0 8 1
25 0 2 1
25 0 10 1
25 0 9 1
25 0 0 1
25 0 -4 1
25 0 1 1
25 0 -5 1
25 0 -6 1
26 0 8 1
26 0 0 1
26 0 -6 1
38 1 -18 -1
38 1 -22 -1
30 0 0 1
24 0 10 1
24 0 2 1
24 0 -4 1
31 0 0 1
31 0 -1 1
31 0 -2 1
32 0 -2 1
40 1 -20 -1
40 1 -24 -1
